Model,SFX,Chasis,Engine No.,Color code,PROD Month,PO AMS,STATUS,ETA Import
MXAA54L-ANXGB,L2,JTMD43FVX0D028441,M20A-V403713,21820,202101,10508,DELIVERED,10/03/2022
MXAA54L-ANXGB,L2,JTMD43FV90D028656,M20A-V405074,1D620,202101,10427,DELIVERED,10/03/2022
MXAA54L-ANXMB,C1,JTMR43FV30D028545,M20A   V404307,6X320,202101,10408,DELIVERED,10/03/2022
MXAA54L-ANXMB,C1,JTMR43FV70D028676,M20A-V405128,1D620,202101,10408,DELIVERED,10/03/2022
TRJ150L-GKTEK,F1(S1),JTEBX3FJ50K342646,2TR-2431726,21822,202101,10396,DELIVERED,19/03/2022
TRJ150L-GKTEK,F1(S1),JTEBX3FJ00K342408,2TR-2426619,1G322,202101,10383,DELIVERED,10/03/2022
TRJ150L-GKTEK,F1(S1),JTEBX3FJ60K342493,2TR-2427881,1G322,202101,10393,DELIVERED,10/03/2022
TRJ150L-GKTEK,F1(S1),JTEBX3FJ50K342372,2TR-2426086,1G322,202101,10393,DELIVERED,10/03/2022
TRJ150L-GKTEK,F1(S1),JTEBX3FJ90K342455,2TR-2427187,1G322,202101,10398,DELIVERED,10/03/2022
TRJ150L-GKTEK,F1(S1),JTEBX3FJ70K342602,2TR-2430848,1G322,202101,10385,DELIVERED,19/03/2022
TRJ150L-GKTEK,F1(S1),JTEBX3FJ70K342549,2TR-2429032,1G322,202101,10416,DELIVERED,19/03/2022
TRJ150L-GKTEK,F1(S1),JTEBX3FJ80K342639,2TR-2431639,1G322,202101,10430,DELIVERED,19/03/2022
TRJ150L-GKTEK,F1(S1),JTEBX3FJ90K342679,2TR-2430783,1G322,202101,10413,DELIVERED,19/03/2022
VJA300R-GNUZZ,P6,JTMAB7BJ604035258,V35A-0080076,9030,202203,10636,DELIVERED,22/05/2022
VJA300R-GNUZZ,P6,JTMAB7BJ604034885,V35A-0079300,21820,202203,10766,DELIVERED,22/05/2022
VJA300R-GNUZZ,P6,JTMAB7BJ904035321,V35A-0080189,21820,202203,10636,DELIVERED,22/05/2022
FJA300R-GNUZY,D6,JTMAA7BJ204017195,F33A-0009007,4V820,202203,10669,DELIVERED,22/05/2022
FJA300R-GNUZY,D6,JTMAA7BJ904015699,F33A-0019840,1G320,202203,10670,DELIVERED,02/05/2022
FJA300R-GNUZY,D6,JTMAA7BJ504014601,F33A-0018687,21820,202203,10693,DELIVERED,19/04/2022
FJA300R-GNUZY,D6,JTMAA7BJ204014426,F33A-0018585,21820,202203,10670,DELIVERED,19/04/2022
FJA300R-GNUZY,D6,JTMAA7BJ804014365,F33A-0018520,21820,202203,10625,DELIVERED,19/04/2022
FJA300R-GNUZY,D6,JTMAA7BJ704015748,F33A-0019898,21820,202203,10629,DELIVERED,02/05/2022
